爱心飞扬,ai'xin'fei'yang
保镖,bao'biao
别问我是谁,bie'wen'wo'shi'shui
成人随想,cheng'ren'sui'xiang
地带,di'dai
动力无限,dong'li'wu'xian
后街男孩,hou'jie'nan'hai
护花使者,hu'hua'shi'zhe
今生有缘,jin'sheng'you'yuan
锦州市比高卫生用品有限公司,jin'zhou'shi'bi'gao'wei'sheng'yong'pin'you'xian'gong'si
静夜俏语,jing'ye'qiao'yu
莱特曼,lai'te'man
邻家女孩,lin'jia'nv'hai
乾坤系列,qian'kun'xi'lie
俏姑娘,qiao'gu'niang
热带雨林,re'dai'yu'lin
他乡艳遇,ta'xiang'yan'yu
味道,wei'dao
小鸟依人,xiao'niao'yi'ren
心灵之约,xin'ling'zhi'yue
椰风细雨,ye'feng'xi'yu
雨伞,yu'san
缘来是你,yuan'lai'shi'ni
真情在线,zhen'qing'zai'xian
