奥力美,ao'li'mei
八佰伴,ba'bai'ban
八分饱,ba'fen'bao
八角亭,ba'jiao'ting
八连星,ba'lian'xing
把你吃,ba'ni'chi
把你看,ba'ni'kan
八桥,ba'qiao
八桥镇,ba'qiao'zhen
把我吃,ba'wo'chi
吧我看看,ba'wo'kan'kan
巴西烤肉,ba'xi'kao'rou
百露,bai'lu
百盛家园,bai'sheng'jia'yuan
百岁鸡,bai'sui'ji
百特喜,bai'te'xi
白云街,bai'yun'jie
包冲,bao'chong
宝华山,bao'hua'shan
包口,bao'kou
宝塔路,bao'ta'lu
宝塔山,bao'ta'shan
北固山,bei'gu'shan
北固湾,bei'gu'wan
毕加索,bi'jia'suo
碧榆园,bi'yu'yuan
别睬他,bie'cai'ta
伯先公园,bo'xian'gong'yuan
不睬你了,bu'cai'ni'le
不睬他,bu'cai'ta
补充习题,bu'chong'xi'ti
不错蛮,bu'cuo'man
不得办法,bu'de'ban'fa
不得命,bu'de'ming
不得钱,bu'de'qian
不的人,bu'de'ren
不得事,bu'de'shi
不得意思,bu'de'yi'si
不得用,bu'de'yong
不好上网,bu'hao'shang'wang
不好为,bu'hao'wei
不欢喜,bu'huan'xi
不裸了,bu'luo'le
不蛮好的,bu'man'hao'de
不上裤子,bu'shang'ku'zi
不上路,bu'shang'lu
不上路子,bu'shang'lu'zi
不谈对象,bu'tan'dui'xiang
不晓得哎,bu'xiao'de'ai
不晓得为,bu'xiao'de'wei
不要蛮,bu'yao'man
不在丹阳,bu'zai'dan'yang
不在镇江,bu'zai'zhen'jiang
不知道为,bu'zhi'dao'wei
菜菜鸟,cai'cai'niao
槽式,cao'shi
插接箱,cha'jie'xiang
差一窍,cha'yi'qiao
常发广场,chang'fa'guang'chang
长江花城,chang'jiang'hua'cheng
长江音乐节,chang'jiang'yin'yue'jie
长鱼汤,chang'yu'tang
车源,che'yuan
城北公园,cheng'bei'gong'yuan
城河路,cheng'he'lu
成绩报告单,cheng'ji'bao'gao'dan
城市客厅,cheng'shi'ke'ting
城铁站,cheng'tie'zhan
吃过饭啦,chi'guo'fan'la
吃过没啊,chi'guo'mei'a
吃过中饭,chi'guo'zhong'fan
冲军,chong'jun
臭磊磊,chou'lei'lei
出来包,chu'lai'bao
圌山,chuan'shan
船艇,chuan'ting
船院,chuan'yuan
从丹阳,cong'dan'yang
翠谷,cui'gu
存仁堂,cun'ren'tang
大港,da'gang
大港的,da'gang'de
大港了,da'gang'le
大港人,da'gang'ren
大港中学,da'gang'zhong'xue
大麦粥,da'mai'zhou
大脑不好,da'nao'bu'hao
大市口,da'shi'kou
大事楼,da'shi'lou
大统华,da'tong'hua
大西路,da'xi'lu
大卓,da'zhuo
带把你,dai'ba'ni
带把我,dai'ba'wo
代笔,dai'bi
呆的了,dai'de'le
带个我,dai'ge'wo
带怪,dai'guai
戴家门,dai'jia'men
丹桂园,dan'gui'yuan
丹金路,dan'jin'lu
丹师,dan'shi
丹徒,dan'tu
丹徒区,dan'tu'qu
丹徒新区,dan'tu'xin'qu
丹徒镇,dan'tu'zhen
单靴,dan'xue
丹阳,dan'yang
丹阳啊,dan'yang'a
丹阳的,dan'yang'de
丹阳话,dan'yang'hua
丹阳了,dan'yang'le
丹阳呢,dan'yang'ne
丹阳人,dan'yang'ren
丹阳市,dan'yang'shi
丹阳师范,dan'yang'shi'fan
丹阳天气,dan'yang'tian'qi
丹阳翼网,dan'yang'yi'wang
丹阳站,dan'yang'zhan
到丹阳,dao'dan'yang
到江苏,dao'jiang'su
到句容,dao'ju'rong
到哪快,dao'na'kuai
导士,dao'shi
到忘了,dao'wang'le
到扬中,dao'yang'zhong
到镇江了,dao'zhen'jiang'le
德润华庭,de'run'hua'ting
的为,de'wei
得喜,de'xi
的一笔,de'yi'bi
得月楼,de'yue'lou
等哈一,deng'ha'yi
等哈子,deng'ha'zi
第一口接,di'yi'kou'jie
第一楼街,di'yi'lou'jie
电力路,dian'li'lu
掉的了,diao'de'le
吊东西,diao'dong'xi
吊女的,diao'nv'de
跌跟头,die'gen'tou
定根牙,ding'gen'ya
丁卯,ding'mao
丁卯桥,ding'mao'qiao
丁卯桥路,ding'mao'qiao'lu
东方会馆,dong'fang'hui'guan
东吴路,dong'wu'lu
东吴新村,dong'wu'xin'cun
东乡羊肉,dong'xiang'yang'rou
东岳巷,dong'yue'xiang
豆庄,dou'zhuang
都市晴园,du'shi'qing'yuan
对包,dui'bao
对带,dui'dai
对的为,dui'de'wei
诶为,ei'wei
二道巷,er'dao'xiang
二圣,er'sheng
发把我,fa'ba'wo
烦不了,fan'bu'liao
烦的一比,fan'de'yi'bi
烦死得了,fan'si'de'le
房管处,fang'guan'chu
方家湾,fang'jia'wan
放你的屁,fang'ni'de'pi
放你妈,fang'ni'ma
放他妈,fang'ta'ma
访仙镇,fang'xian'zhen
废话啰嗦,fei'hua'luo'suo
分的了,fen'de'le
疯的了,feng'de'le
凤凰家园,feng'huang'jia'yuan
风景城邦,feng'jing'cheng'bang
枫林湾,feng'lin'wan
丰裕,feng'yu
驸马山庄,fu'ma'shan'zhuang
噶不住,ga'bu'zhu
咖喱盒子,ga'li'he'zi
甘露商城,gan'lu'shang'cheng
甘露寺,gan'lu'si
干嘛哒,gan'ma'da
干嘛哦,gan'ma'o
干嘛怕,gan'ma'pa
干嘛去的,gan'ma'qu'de
干嘛撒,gan'ma'sa
刚吃饭的,gang'chi'fan'de
岗子下,gang'zi'xia
高桥,gao'qiao
高专,gao'zhuan
高资镇,gao'zi'zhen
葛村,ge'cun
葛仙湖,ge'xian'hu
给我看看呢,gei'wo'kan'kan'ne
公老头,gong'lao'tou
姑儿,gu'er
谷阳路,gu'yang'lu
谷阳新村,gu'yang'xin'cun
谷阳镇,gu'yang'zhen
挂水的,gua'shui'de
乖叫,guai'jiao
冠城,guan'cheng
掼蛋,guan'dan
观海楼,guan'hai'lou
官塘桥,guan'tang'qiao
光华雅居,guang'hua'ya'ju
广胜,guang'sheng
国防园,guo'fang'yuan
锅盖面,guo'gai'mian
过哈子,guo'ha'zi
国际饭店,guo'ji'fan'dian
国际域名网,guo'ji'yu'ming'wang
过扣,guo'kou
国缘,guo'yuan
郭庄,guo'zhuang
哈说,ha'shuo
哈说八道,ha'shuo'ba'dao
好包,hao'bao
好不撒,hao'bu'sa
好的为,hao'de'wei
好的一笔,hao'de'yi'bi
好多多,hao'duo'duo
好歌迪,hao'ge'di
好看包,hao'kan'bao
好了为,hao'le'wei
好喃,hao'nan
豪味家,hao'wei'jia
浩云湾,hao'yun'wan
恒美嘉园,heng'mei'jia'yuan
恒美山庄,heng'mei'shan'zhuang
恒顺,heng'shun
恒顺翠谷,heng'shun'cui'gu
红钱,hong'qian
红珠鸡,hong'zhu'ji
后白,hou'bai
后巷,hou'xiang
后巷镇,hou'xiang'zhen
虎踞桥,hu'ju'qiao
华都名城,hua'du'ming'cheng
华润新村,hua'run'xin'cun
花山湾,hua'shan'wan
划下来,hua'xia'lai
