阿弥岭,a'mi'ling
八角亭,ba'jiao'ting
八条巷,ba'tiao'xiang
八一桥,ba'yi'qiao
八字墙,ba'zi'qiang
白果园,bai'guo'yuan
百花村,bai'hua'cun
白沙街,bai'sha'jie
百善台,bai'shan'tai
豹王街,bao'wang'jie
豹子岭,bao'zi'ling
北长里,bei'chang'li
北墙湾,bei'qiang'wan
北正街,bei'zheng'jie
碧沙湖,bi'sha'hu
碧湘街,bi'xiang'jie
长岭,chang'ling
长塘里,chang'tang'li
潮中门,chao'zhong'men
陈家湖,chen'jia'hu
赤岗冲,chi'gang'chong
赤岗村,chi'gang'cun
楚湘街,chu'xiang'jie
大古道巷,da'gu'dao'xiang
大托铺,da'tuo'pu
大西门,da'xi'men
登隆街,deng'long'jie
定王台,ding'wang'tai
东牌楼,dong'pai'lou
东庆街,dong'qing'jie
东塘,dong'tang
都正街,dou'zheng'jie
二仓里,er'cang'li
二府坪,er'fu'ping
藩城堤,fan'cheng'di
番后街,fan'hou'jie
凤凰台,feng'huang'tai
福临街,fu'lin'jie
柑子园,gan'zi'yuan
高正街,gao'zheng'jie
古稻田,gu'dao'tian
桂花井,gui'hua'jing
果茶巷,guo'cha'xiang
国庆新村,guo'qing'xin'cun
荷花池,he'hua'chi
和平巷,he'ping'xiang
黑石渡,hei'shi'du
黑石铺,hei'shi'pu
黑石头,hei'shi'tou
红龙庙,hong'long'miao
红牌楼,hong'pai'lou
侯家塘,hou'jia'tang
黄泥街,huang'ni'jie
黄泥坑,huang'ni'keng
黄土岭,huang'tu'ling
火后街,huo'hou'jie
吉庆街,ji'qing'jie
教育街,jiao'yu'jie
解放四村,jie'fang'si'cun
桔园小区,jie'yuan'xiao'qu
金盆岭,jin'pen'ling
金沙里,jin'sha'li
金线街,jin'xian'jie
精武门,jing'wu'men
韭菜园,jiu'cai'yuan
九尾冲,jiu'wei'chong
九仪里,jiu'yi'li
蓝粉墙,lan'fen'qiang
濂溪里,lian'xi'li
六堆子,liu'dui'zi
六铺街,liu'pu'jie
流水沟,liu'shui'gou
马坡岭,ma'po'ling
马王堆,ma'wang'dui
马王街,ma'wang'jie
马益顺巷,ma'yi'shun'xiang
麻园塘,ma'yuan'tang
湄溪垸,mei'xi'yuan
民主街,min'zhu'jie
木牌楼,mu'pai'lou
南湖港,nan'hu'gang
南阳街,nan'yang'jie
南元宫巷,nan'yuan'gong'xiang
南正街,nan'zheng'jie
潘家坪,pan'jia'ping
坡子街,po'zi'jie
浦沅,pu'yuan
七里庙,qi'li'miao
七条巷,qi'tiao'xiang
千佛林,qian'fo'lin
青山词,qing'shan'ci
清水塘,qing'shui'tang
荣湾镇,rong'wan'zhen
三角塘,san'jiao'tang
三泰街,san'tai'jie
扫把塘,sao'ba'tang
沙河街,sha'he'jie
上碧湘街,shang'bi'xiang'jie
上大城,shang'da'cheng
上宜园,shang'yi'yuan
十间头,shi'jian'tou
十字横街,shi'zi'heng'jie
识字岭,shi'zi'ling
树木岭,shu'mu'ling
水道巷,shui'dao'xiang
水风井,shui'feng'jing
四端里,si'duan'li
四方坪,si'fang'ping
四家井,si'jia'jing
司门口,si'men'kou
堂皇里,tang'huang'li
堂皇巷,tang'huang'xiang
陶家山,tao'jia'shan
天心街,tian'xin'jie
铁铺街,tie'pu'jie
铁铺巷,tie'pu'xiang
铜铺街,tong'pu'jie
同仁里,tong'ren'li
通泰街,tong'tai'jie
土地坡,tu'di'po
凃家冲,tu'jia'chong
万词巷,wan'ci'xiang
王家垅,wang'jia'long
望麓园,wang'lu'yuan
文家坡,wen'jia'po
文庙坪,wen'miao'ping
文星桥巷,wen'xing'qiao'xiang
乌春巷,wu'chun'xiang
五堆子,wu'dui'zi
伍家井,wu'jia'jing
伍家岭,wu'jia'ling
五里堆,wu'li'dui
五里牌,wu'li'pai
西安里,xi'an'li
西湖桥,xi'hu'qiao
西牌楼,xi'pai'lou
锡庆里,xi'qing'li
西学巷,xi'xue'xiang
下碧湘街,xia'bi'xiang'jie
下大城,xia'da'cheng
下河街,xia'he'jie
下宜园,xia'yi'yuan
咸嘉湖,xian'jia'hu
咸嘉新村,xian'jia'xin'cun
县正街,xian'zheng'jie
小古道巷,xiao'gu'dao'xiang
小林子冲,xiao'lin'zi'chong
小吴门,xiao'wu'men
小西门,xiao'xi'men
小雨坪巷,xiao'yu'ping'xiang
谢家坪,xie'jia'ping
新开铺,xin'kai'pu
新桥村,xin'qiao'cun
新星小区,xin'xing'xiao'qu
兴汉门,xing'han'men
杏花园,xing'hua'yuan
学堂园,xue'tang'yuan
学院街,xue'yuan'jie
学运街,xue'yun'jie
雅雀湖,ya'que'hu
雅雀岭,ya'que'ling
雅塘村,ya'tang'cun
鸭子铺,ya'zi'pu
盐道坪,yan'dao'ping
晏家塘,yan'jia'tang
晏家塘巷,yan'jia'tang'xiang
砚瓦池,yan'wa'chi
燕子岭,yan'zi'ling
杨家山,yang'jia'shan
仰天湖,yang'tian'hu
窑岭,yao'ling
药王街,yao'wang'jie
义茶亭,yi'cha'ting
一路吉祥,yi'lu'ji'xiang
一元里,yi'yuan'li
荫马塘,yin'ma'tang
银盆岭,yin'pen'ling
营盘街,ying'pan'jie
右局巷,you'ju'xiang
油铺街,you'pu'jie
右石门,you'shi'men
友谊村,you'yi'cun
油子塘,you'zi'tang
雨花亭,yu'hua'ting
预制场,yu'zhi'chang
袁家岭,yuan'jia'ling
张公岭,zhang'gong'ling
张家屋场,zhang'jia'wu'chang
织机街,zhi'ji'jie
中和街,zhong'he'jie
中山里,zhong'shan'li
中山亭,zhong'shan'ting
周公塘,zhou'gong'tang
周家桔园,zhou'jia'jie'yuan
自然岭,zi'ran'ling
紫桐园,zi'tong'yuan
走马楼,zou'ma'lou
左东园,zuo'dong'yuan
左家垅,zuo'jia'long
左家塘,zuo'jia'tang
左局街,zuo'ju'jie
