唉又哇,ai'you'wa
唉又哇啦,ai'you'wa'la
爱又为,ai'you'wei
懊糟,ao'zao
扒虎,ba'hu
膀节关子,bang'jie'guan'zi
膀子,bang'zi
抱窝,bao'wo
变天,bian'tian
拨篮,bo'lan
不过意,bu'guo'yi
不过意坐月子,bu'guo'yi'zuo'yue'zi
不漫,bu'man
不限定,bu'xian'ding
菜瓜,cai'gua
菜哪个烧嗲,cai'na'ge'shao'dia
测测,ce'ce
吃过俩,chi'guo'liang
充盹,chong'dun
抽销子,chou'xiao'zi
出恭,chu'gong
促闿,cu'kai
打百日,da'bai'ri
打拦头板,da'lan'tou'ban
大码框,da'ma'kuang
呆揣,dai'chuai
捣鬼,dao'gui
倒咸菜梗,dao'xian'cai'geng
倒烟,dao'yan
犜牛,dun'niu
多晚,duo'wan
讹头,e'tou
恩那,en'na
发秋呆子,fa'qiu'dai'zi
放墒,fang'shang
嘎里,ga'li
该个,gai'ge
该个没的什么韩尽,gai'ge'mei'de'shen'me'han'jin
该应,gai'ying
牯牛,gu'niu
刮双,gua'shuang
乖叽,guai'ji
鬼叽落雀,gui'ji'luo'que
好啊,hao'a
好说,hao'shuo
好天,hao'tian
後个,hou'ge
后四了,hou'si'le
猴行,hou'xing
滑挞,hua'ta
欢丝,huan'si
急克,ji'ke
拣口,jian'kou
犍牛,jian'niu
将究点子,jiang'jiu'dian'zi
搅劳,jiao'lao
解手,jie'shou
就在阔拖拖,jiu'zai'kuo'tuo'tuo
绝色到,jue'se'dao
闿闿,kai'kai
扛木梢,kang'mu'shao
克地头,ke'di'tou
磕巧,ke'qiao
辣酸汤,la'suan'tang
烂泥法头,lan'ni'fa'tou
岚杂,lan'za
累堆,lei'dui
里头,li'tou
麻里木竹,ma'li'mu'zhu
没得,mei'de
没个,mei'ge
没筋没骨,mei'jin'mei'gu
明公,ming'gong
那克,na'ke
闹街狗,nao'jie'gou
你犯嫌,ni'fan'xian
蔫瘪蛇,nian'bie'she
牛汪塘,niu'wang'tang
怕丑,pa'chou
跑掉了,pao'diao'le
皮麻,pi'ma
铅角子,qian'jiao'zi
牵丝板藤,qian'si'ban'teng
呛场,qiang'chang
罄头,qing'tou
三脚猫,san'jiao'mao
三只手,san'zhi'shou
沙牛,sha'niu
什呢呀,shen'ne'ya
生牛犊子,sheng'niu'du'zi
拾红砖,shi'hong'zhuan
受凉,shou'liang
寿器,shou'qi
数哇意,shu'wa'yi
刷刮,shua'gua
死皮赖哇,si'pi'lai'wa
死色到,si'se'dao
酸文假素,suan'wen'jia'su
他旮在哪断,ta'ga'zai'na'duan
剃头,ti'tou
铁头犟,tie'tou'jiang
头务,tou'wu
陀螺,tuo'luo
挖掘,wa'jue
哇五骨叽,wa'wu'gu'ji
外头,wai'tou
顽意仗,wan'yi'zhang
乌七妈黑,wu'qi'ma'hei
瞎揪,xia'jiu
鞋克拉,xie'ke'la
行那,xing'na
须死哩欧,xu'si'li'ou
虚头,xu'tou
雪白,xue'bai
雪黑,xue'hei
雪红,xue'hong
雪甜生疼,xue'tian'sheng'teng
鸭嘘,ya'xu
鸦鸦乌,ya'ya'wu
焉别蛇,yan'bie'she
咽赖,yan'lai
洋火,yang'huo
一度,yi'du
一塌刮子,yi'ta'gua'zi
一塌刮子刷刮,yi'ta'gua'zi'shua'gua
噫嘻,yi'xi
约约胡,yue'yue'hu
杂个,za'ge
站脚,zhan'jiao
真呀怪,zhen'ya'guai
做尼,zuo'ni
坐月子,zuo'yue'zi
