阿尔乡镇,a'er'xiang'zhen
阿金立交桥,a'jin'li'jiao'qiao
阿金站,a'jin'zhan
阿莫村,a'mo'cun
爱地大厦,ai'di'da'sha
爱民路,ai'min'lu
安家店,an'jia'dian
安居小区,an'ju'xiao'qu
安康大药房,an'kang'da'yao'fang
安全局,an'quan'ju
安踏体育,an'ta'ti'yu
安装公司,an'zhuang'gong'si
敖包沟,ao'bao'gou
敖包梁,ao'bao'liang
敖包山,ao'bao'shan
敖汉村,ao'han'cun
敖力营子,ao'li'ying'zi
奥斯卡儿童摄影,ao'si'ka'er'tong'she'ying
八道岭村,ba'dao'ling'cun
八家,ba'jia
八家子,ba'jia'zi
八家子村,ba'jia'zi'cun
八家子乡,ba'jia'zi'xiang
八间房,ba'jian'fang
八棵树,ba'ke'shu
八里堡村,ba'li'bao'cun
八里村,ba'li'cun
巴里村,ba'li'cun
八里沟,ba'li'gou
巴黎经典,ba'li'jing'dian
八里营子,ba'li'ying'zi
八楼子,ba'lou'zi
把石沟,ba'shi'gou
八一路小学,ba'yi'lu'xiao'xue
八组,ba'zu
白城子村,bai'cheng'zi'cun
白花沟,bai'hua'gou
百货批发站,bai'huo'pi'fa'zhan
百货商场,bai'huo'shang'chang
柏家村,bai'jia'cun
白家村,bai'jia'cun
白家街,bai'jia'jie
白家洼,bai'jia'wa
白家窝铺,bai'jia'wo'pu
百亩园,bai'mu'yuan
白山土,bai'shan'tu
白石沟,bai'shi'gou
白塔沟村,bai'ta'gou'cun
白塔子,bai'ta'zi
白土厂,bai'tu'chang
白土沟,bai'tu'gou
百姓村,bai'xing'cun
百姓大药房,bai'xing'da'yao'fang
白音花村,bai'yin'hua'cun
白音他拉村,bai'yin'ta'la'cun
白玉都,bai'yu'dou
白玉都村,bai'yu'dou'cun
半不道,ban'bu'dao
半截塔,ban'jie'ta
半截塔村,ban'jie'ta'cun
半拉山,ban'la'shan
板楼,ban'lou
保安公司,bao'an'gong'si
宝典大厦,bao'dian'da'sha
宝康大药房,bao'kang'da'yao'fang
宝力根寺,bao'li'gen'si
宝山村,bao'shan'cun
报喜鸟,bao'xi'niao
保险公司,bao'xian'gong'si
北八里村,bei'ba'li'cun
北大沟,bei'da'gou
北大山,bei'da'shan
北地,bei'di
北甸子,bei'dian'zi
北甸子村,bei'dian'zi'cun
北方管业,bei'fang'guan'ye
北方花园,bei'fang'hua'yuan
北方花园停车场,bei'fang'hua'yuan'ting'che'chang
北方加油站,bei'fang'jia'you'zhan
北方酒店,bei'fang'jiu'dian
北方石油,bei'fang'shi'you
北风井,bei'feng'jing
北付出小区,bei'fu'chu'xiao'qu
北岗,bei'gang
北岗子,bei'gang'zi
北沟,bei'gou
北沟桥,bei'gou'qiao
北沟水库,bei'gou'shui'ku
北弧公司,bei'hu'gong'si
北环路储蓄所,bei'huan'lu'chu'xu'suo
北岭,bei'ling
北庙,bei'miao
北三家子,bei'san'jia'zi
北三家子村,bei'san'jia'zi'cun
北山,bei'shan
北山东园区,bei'shan'dong'yuan'qu
北山后,bei'shan'hou
北山坡,bei'shan'po
北山小学,bei'shan'xiao'xue
北山中学,bei'shan'zhong'xue
北山住宅,bei'shan'zhu'zhai
北四家子,bei'si'jia'zi
北台子,bei'tai'zi
北头,bei'tou
北洼,bei'wa
北洼子,bei'wa'zi
北湾子,bei'wan'zi
北新花园,bei'xin'hua'yuan
北窑,bei'yao
北营子,bei'ying'zi
北园子,bei'yuan'zi
碧波花园,bi'bo'hua'yuan
毕家沟,bi'jia'gou
标榜美发,biao'bang'mei'fa
滨河花园,bin'he'hua'yuan
滨河小区,bin'he'xiao'qu
滨河苑小区,bin'he'yuan'xiao'qu
博大宾馆,bo'da'bin'guan
玻璃厂,bo'li'chang
蔡家屯,cai'jia'tun
财校,cai'xiao
菜园子,cai'yuan'zi
财政局,cai'zheng'ju
苍土乡,cang'tu'xiang
草房,cao'fang
曹家,cao'jia
曹家村,cao'jia'cun
曹家街,cao'jia'jie
曹家窝铺,cao'jia'wo'pu
查干哈达村,cha'gan'ha'da'cun
查海村,cha'hai'cun
岔路沟,cha'lu'gou
岔山稿村,cha'shan'gao'cun
柴家沟,chai'jia'gou
长大沟,chang'da'gou
长沟沿,chang'gou'yan
长沟沿村,chang'gou'yan'cun
长哈达村,chang'ha'da'cun
常家街,chang'jia'jie
长岭沟,chang'ling'gou
