白炽灯,bai'chi'deng
邦定加工,bang'ding'jia'gong
杯灯,bei'deng
壁灯,bi'deng
材料,cai'liao
彩色灯泡,cai'se'deng'pao
草坪灯,cao'ping'deng
插件加工,cha'jian'jia'gong
插头,cha'tou
插座,cha'zuo
车灯,che'deng
充电手电筒,chong'dian'shou'dian'tong
触点,chu'dian
触发器,chu'fa'qi
触片,chu'pian
大灯,da'deng
道路照明灯,dao'lu'zhao'ming'deng
灯杯,deng'bei
灯管,deng'guan
灯具,deng'ju
灯具配附件,deng'ju'pei'fu'jian
灯盘,deng'pan
灯丝,deng'si
灯头,deng'tou
灯箱,deng'xiang
灯罩,deng'zhao
灯柱灯杆,deng'zhu'deng'gan
灯座,deng'zuo
电工胶带,dian'gong'jiao'dai
电光源,dian'guang'yuan
电光源材料,dian'guang'yuan'cai'liao
电子粉,dian'zi'fen
电子加工,dian'zi'jia'gong
电子组装加工,dian'zi'zu'zhuang'jia'gong
吊灯,diao'deng
端子,duan'zi
二手照明器材,er'shou'zhao'ming'qi'cai
发光二极管,fa'guang'er'ji'guan
泛光灯,fan'guang'deng
防爆灯具,fang'bao'deng'ju
高杆灯,gao'gan'deng
格栅灯,ge'shan'deng
汞灯,gong'deng
工矿灯具,gong'kuang'deng'ju
工艺装饰灯具,gong'yi'zhuang'shi'deng'ju
工作灯,gong'zuo'deng
广告灯具,guang'gao'deng'ju
光源器,guang'yuan'qi
焊接加工,han'jie'jia'gong
航空障碍灯,hang'kong'zhang'ai'deng
红外线灯,hong'wai'xian'deng
红外线灯泡,hong'wai'xian'deng'pao
环型荧光灯管,huan'xing'ying'guang'deng'guan
机床灯具,ji'chuang'deng'ju
检修灯,jian'xiu'deng
角灯,jiao'deng
交通警示灯,jiao'tong'jing'shi'deng
金卤灯,jin'lu'deng
景观灯,jing'guan'deng
聚光灯泡,ju'guang'deng'pao
绝缘板,jue'yuan'ban
绝缘材料,jue'yuan'cai'liao
绝缘带,jue'yuan'dai
绝缘垫片,jue'yuan'dian'pian
绝缘隔离柱,jue'yuan'ge'li'zhu
绝缘套管,jue'yuan'tao'guan
绝缘子,jue'yuan'zi
库存照明器材,ku'cun'zhao'ming'qi'cai
冷光片,leng'guang'pian
冷光源,leng'guang'yuan
冷阴极荧光灯,leng'yin'ji'ying'guang'deng
两极电源插头,liang'ji'dian'yuan'cha'tou
两极电源插座,liang'ji'dian'yuan'cha'zuo
卤钨灯泡,lu'wu'deng'pao
落地灯,luo'di'deng
螺旋型荧光灯管,luo'xuan'xing'ying'guang'deng'guan
码头,ma'tou
埋地灯,mai'di'deng
灭蚊灯,mie'wen'deng
钠灯,na'deng
氖灯,nai'deng
霓虹灯管,ni'hong'deng'guan
泡壳,pao'ke
普通手电筒,pu'tong'shou'dian'tong
普通照明白炽灯,pu'tong'zhao'ming'bai'chi'deng
启辉器,qi'hui'qi
其他白炽灯,qi'ta'bai'chi'deng
其他插头,qi'ta'cha'tou
其他插座,qi'ta'cha'zuo
其他车灯,qi'ta'che'deng
其他灯具配附件,qi'ta'deng'ju'pei'fu'jian
其他电光源材料,qi'ta'dian'guang'yuan'cai'liao
其他电子加工,qi'ta'dian'zi'jia'gong
其他绝缘材料,qi'ta'jue'yuan'cai'liao
其他冷光源,qi'ta'leng'guang'yuan
