阿达来,a'da'lai
阿达里,a'da'li
啊好啦,a'hao'la
阿里里,a'li'li
阿门的,a'men'de
阿木了,a'mu'le
啊你还,a'ni'hai
安保科,an'bao'ke
安化镇,an'hua'zhen
安全生产隐患,an'quan'sheng'chan'yin'huan
把别人的,ba'bie'ren'de
班组天地,ban'zu'tian'di
包说,bao'shuo
碧口,bi'kou
碧口镇,bi'kou'zhen
闭斋,bi'zhai
不高估,bu'gao'gu
不高估自己,bu'gao'gu'zi'ji
不片,bu'pian
不寻找,bu'xun'zhao
陈院,chen'yuan
城关镇,cheng'guan'zhen
城郊乡,cheng'jiao'xiang
成了啦,cheng'le'la
成县,cheng'xian
成州网,cheng'zhou'wang
吃家,chi'jia
出来家,chu'lai'jia
从邮递员,cong'you'di'yuan
大河家,da'he'jia
宕昌县,dang'chang'xian
挡墙内,dang'qiang'nei
到甘肃,dao'gan'su
到天水,dao'tian'shui
到武都,dao'wu'du
等噶,deng'ga
地很,di'hen
店村,dian'cun
窦豆,dou'dou
都可以干,dou'ke'yi'gan
而苗卫芳,er'miao'wei'fang
而无工作,er'wu'gong'zuo
发了你,fa'le'ni
伏家镇,fu'jia'zhen
附件吗,fu'jian'ma
干撒这里,gan'sa'zhei'li
干啥这里,gan'sha'zhei'li
甘肃,gan'su
甘肃陇南,gan'su'long'nan
甘肃省,gan'su'sheng
刚泰,gang'tai
高楼山,gao'lou'shan
高兴极了,gao'xing'ji'le
高学府,gao'xue'fu
高中毕业后,gao'zhong'bi'ye'hou
工人日报,gong'ren'ri'bao
共同对,gong'tong'dui
观点鲜明,guan'dian'xian'ming
官鹅沟,guan'e'gou
广河,guang'he
郭俊锋,guo'jun'feng
哈达铺,ha'da'pu
哈来了,ha'lai'le
韩家坝,han'jia'ba
汉王镇,han'wang'zhen
汉源镇,han'yuan'zhen
好吧带,hao'ba'dai
好着啦,hao'zhe'la
好着来,hao'zhe'lai
好着里,hao'zhe'li
河坝,he'ba
和感动,he'gan'dong
核桃树,he'tao'shu
和腰围,he'yao'wei
红川,hong'chuan
后坝,hou'ba
黄土地上,huang'tu'di'shang
黄渚,huang'zhu
徽县,hui'xian
徽县吧,hui'xian'ba
徽县商务局,hui'xian'shang'wu'ju
箕斗斜井,ji'dou'xie'jing
记哈,ji'ha
纪念画,ji'nian'hua
鸡山,ji'shan
积石山,ji'shi'shan
家里里,jia'li'li
佳人苑,jia'ren'yuan
江洛镇,jiang'luo'zhen
角弓,jiao'gong
金箔画,jin'bo'hua
进村进社,jin'cun'jin'she
金徽,jin'hui
进行初步,jin'xing'chu'bu
谨以此,jin'yi'ci
谨以此文,jin'yi'ci'wen
旧城坝,jiu'cheng'ba
旧城山,jiu'cheng'shan
就是带,jiu'shi'dai
开阔起来,kai'kuo'qi'lai
康县,kang'xian
可毕业,ke'bi'ye
瞌睡着,ke'shui'zhe
宽川,kuan'chuan
矿山工程部,kuang'shan'gong'cheng'bu
来武都,lai'wu'du
蓝若水,lan'ruo'shui
冷平,leng'ping
理川,li'chuan
礼县,li'xian
礼县的,li'xian'de
联村联户,lian'cun'lian'hu
莲湖公园,lian'hu'gong'yuan
两当,liang'dang
两当县,liang'dang'xian
两河口,liang'he'kou
两水,liang'shui
两水镇,liang'shui'zhen
临潭,lin'tan
临夏,lin'xia
临夏市,lin'xia'shi
临夏县,lin'xia'xian
临夏州,lin'xia'zhou
刘家峡,liu'jia'xia
溜井,liu'jing
柳林镇,liu'lin'zhen
陇南,long'nan
陇南吧,long'nan'ba
陇南的,long'nan'de
陇南市,long'nan'shi
陇南师专,long'nan'shi'zhuan
罗坝,luo'ba
洛坝集团,luo'ba'ji'tuan
麻烦着,ma'fan'zhe
忙死家,mang'si'jia
忙着哩,mang'zhe'li
冒顶,mao'ding
么还,me'hai
美衣天堂街,mei'yi'tian'tang'jie
米仓山,mi'cang'shan
米皮子,mi'pi'zi
蜜淘衣秀,mi'tao'yi'xiu
苗家坝,miao'jia'ba
庙坪,miao'ping
苗卫芳,miao'wei'fang
岷县,min'xian
那欢,na'huan
拿一个人的往事,na'yi'ge'ren'de'wang'shi
那一瞬,na'yi'shun
你拍的吗,ni'pai'de'ma
你咋这里,ni'za'zhei'li
你抓到里,ni'zhua'dao'li
你抓着来,ni'zhua'zhe'lai
牛娃儿,niu'wa'er
农牧局,nong'mu'ju
女士冬款鞋,nv'shi'dong'kuan'xie
排查出,pai'cha'chu
盘旋路,pan'xuan'lu
盘旋律,pan'xuan'lv
抛沙,pao'sha
培训教育,pei'xun'jiao'yu
片传,pian'chuan
片来,pian'lai
片着,pian'zhe
瓢子,piao'zi
平洛,ping'luo
铺子里,pu'zi'li
气多,qi'duo
祁家,qi'jia
祁家村,qi'jia'cun
祁山,qi'shan
气死家,qi'si'jia
强盛公司,qiang'sheng'gong'si
请矿山工程部,qing'kuang'shan'gong'cheng'bu
清水沟,qing'shui'gou
秋冬装,qiu'dong'zhuang
去闹市,qu'nao'shi
去天水,qu'tian'shui
却将,que'jiang
人感动,ren'gan'dong
任何热,ren'he're
撒时间,sa'shi'jian
三滩,san'tan
沙坝,sha'ba
上兰州,shang'lan'zhou
是班组天地,shi'ban'zu'tian'di
石堡,shi'bao
石坊乡,shi'fang'xiang
施工区域,shi'gong'qu'yu
是农民,shi'nong'min
石峡,shi'xia
市县政府,shi'xian'zheng'fu
双联,shuang'lian
睡不车,shui'bu'che
睡车,shui'che
睡家,shui'jia
睡觉家,shui'jiao'jia
水阳,shui'yang
岁娃娃,sui'wa'wa
宕昌,tan'chang
探矿工程,tan'kuang'gong'cheng
探矿巷道,tan'kuang'hang'dao
天洛工区,tian'luo'gong'qu
天水,tian'shui
天水的,tian'shui'de
天水了,tian'shui'le
天爷,tian'ye
同谷,tong'gu
外个,wai'ge
外还,wai'hai
外好的,wai'hao'de
外就,wai'jiu
外就好,wai'jiu'hao
外就是,wai'jiu'shi
外么,wai'me
外没有,wai'mei'you
外女子,wai'nv'zi
外时候,wai'shi'hou
外些,wai'xie
万象洞,wan'xiang'dong
望关,wang'guan
王磨,wang'mo
王旭红,wang'xu'hong
围拢,wei'long
围拢来,wei'long'lai
为民富民,wei'min'fu'min
为用,wei'yong
问噶,wen'ga
文县,wen'xian
文字里,wen'zi'li
我奖品,wo'jiang'pin
我气着,wo'qi'zhe
我丫丫,wo'ya'ya
我在甘肃,wo'zai'gan'su
武都,wu'du
武都吧,wu'du'ba
武都的,wu'du'de
武都区,wu'du'qu
武都人,wu'du'ren
五库,wu'ku
屋里来,wu'li'lai
屋里里,wu'li'li
西北师大,xi'bei'shi'da
西和,xi'he
西和县,xi'he'xian
下坝,xia'ba
纤莉秀,xian'li'xiu
效能风暴,xiao'neng'feng'bao
小斜井,xiao'xie'jing
新的作业,xin'de'zuo'ye
需清理,xu'qing'li
岩爆,yan'bao
岩爆应力,yan'bao'ying'li
盐官,yan'guan
杨坝,yang'ba
阳坝,yang'ba
杨店,yang'dian
杨建新,yang'jian'xin
杨柳含烟,yang'liu'han'yan
杨山强,yang'shan'qiang
洋芋搅团,yang'yu'jiao'tuan
姚寨,yao'zhai
一达,yi'da
一大的,yi'da'de
一个人的本质,yi'ge'ren'de'ben'zhi
一号坑道,yi'hao'keng'dao
一万名,yi'wan'ming
已治理安全隐患,yi'zhi'li'an'quan'yin'huan
永靖县,yong'jing'xian
永宁镇,yong'ning'zhen
油橄榄,you'gan'lan
有裂缝,you'lie'feng
虞关,yu'guan
裕河,yu'he
玉皇,yu'huang
月亮西,yue'liang'xi
咋办家,za'ban'jia
咋达,za'da
咋弄家,za'nong'jia
咋着来,za'zhe'lai
咋着里,za'zhe'li
在天水,zai'tian'shui
在武都,zai'wu'du
在组撒,zai'zu'sa
脏好的,zang'hao'de
脏就,zang'jiu
脏睡,zang'shui
早好的,zao'hao'de
扎饿两天,zha'e'liang'tian
着哩,zhe'li
这一做法,zhe'yi'zuo'fa
正视现实,zheng'shi'xian'shi
支护工程量大,zhi'hu'gong'cheng'liang'da
中坝,zhong'ba
钟楼滩,zhong'lou'tan
中寨,zhong'zhai
周耀,zhou'yao
住撒,zhu'sa
抓到里,zhua'dao'li
抓着来,zhua'zhe'lai
卓尼,zhuo'ni
自办公司,zi'ban'gong'si
自豪和,zi'hao'he
走家,zou'jia
组饭,zu'fan
组撒家,zu'sa'jia
组撒这里,zu'sa'zhei'li
