共青团咸阳市委,gong'qing'tuan'xian'yang'shi'wei
陕西方圆实业集团股份有限公司,shan'xi'fang'yuan'shi'ye'ji'tuan'gu'fen'you'xian'gong'si
咸阳市财政局,xian'yang'shi'cai'zheng'ju
咸阳市地方税务局,xian'yang'shi'di'fang'shui'wu'ju
咸阳市公安局秦都分局,xian'yang'shi'gong'an'ju'qin'du'fen'ju
咸阳市工业和信息化委员会,xian'yang'shi'gong'ye'he'xin'xi'hua'wei'yuan'hui
咸阳市环境保护局,xian'yang'shi'huan'jing'bao'hu'ju
咸阳市秦都区西兰路街道办事处,xian'yang'shi'qin'du'qu'xi'lan'lu'jie'dao'ban'shi'chu
咸阳市人力资源和社会保障局,xian'yang'shi'ren'li'zi'yuan'he'she'hui'bao'zhang'ju
咸阳市养老保险经办处,xian'yang'shi'yang'lao'bao'xian'jing'ban'chu
咸阳市住房和城乡建设规划局,xian'yang'shi'zhu'fang'he'cheng'xiang'jian'she'gui'hua'ju
中共咸阳市委组织部,zhong'gong'xian'yang'shi'wei'zu'zhi'bu
