安包呀,an'bao'ya
安呀,an'ya
拜拜喽,bai'bai'lou
白钢,bai'gang
包匪,bao'fei
爆火,bao'huo
包在右边,bao'zai'you'bian
包在左边,bao'zai'zuo'bian
爆炸,bao'zha
边娃,bian'wa
不冲的踢,bu'chong'de'ti
不走的踢,bu'zou'de'ti
侧道,ce'dao
侧门,ce'men
拆包,chai'bao
拆包器,chai'bao'qi
拆包呀,chai'bao'ya
超级跳,chao'ji'tiao
撤退,che'tui
冲锋,chong'feng
传淡撒着俩,chuan'dan'sa'zhe'lia
穿墙,chuan'qiang
穿死,chuan'si
穿死了,chuan'si'le
大道,da'dao
大鸟,da'niao
大喷,da'pen
搭人梯,da'ren'ti
大跳狙,da'tiao'ju
单喷,dan'pen
单挑,dan'tiao
敌人,di'ren
点射,dian'she
定狙,ding'ju
顶下,ding'xia
顶住,ding'zhu
对狙,dui'ju
蹲跳,dun'tiao
蹲下,dun'xia
二楼,er'lou
发把大鸟,fa'ba'da'niao
发把枪,fa'ba'qiang
发来,fa'lai
反恐精英,fan'kong'jing'ying
反作弊器,fan'zuo'bi'qi
匪家,fei'jia
匪头,fei'tou
匪窝,fei'wo
匪专,fei'zhuan
芬兰之星,fen'lan'zhi'xing
刚才的图,gang'cai'de'tu
钢枪,gang'qiang
给把枪,gei'ba'qiang
跟狙,gen'ju
跟我冲,gen'wo'chong
跟我走,gen'wo'zou
黑服,hei'fu
换个地图,huan'ge'di'tu
换个图,huan'ge'tu
换图,huan'tu
回抄,hui'chao
回防,hui'fang
毁灭者,hui'mie'zhe
挤边着吗,ji'bian'zhe'ma
基地,ji'di
挤房,ji'fang
极限跳跃,ji'xian'tiao'yue
架枪,jia'qiang
架梯,jia'ti
建房,jian'fang
建主,jian'zhu
警基地,jing'ji'di
警家,jing'jia
警专,jing'zhuan
救场,jiu'chang
狙镜,ju'jing
卡成边了,ka'cheng'bian'le
开镜,kai'jing
恐怖分子,kong'bu'fen'zi
空心狙,kong'xin'ju
空血,kong'xue
窥屏,kui'ping
老家,lao'jia
老鸟,lao'niao
雷区,lei'qu
雷炸,lei'zha
立体架枪,li'ti'jia'qiang
连狙,lian'ju
连喷,lian'pen
猎魂骑士,lie'hun'qi'shi
绿道,lv'dao
埋包,mai'bao
买甲,mai'jia
盲狙,mang'ju
没钱了,mei'qian'le
盟国,meng'guo
沫沫,mo'mo
沫沫大,mo'mo'da
奶子,nai'zi
你妈子皮里屎把给,ni'ma'zi'pi'li'shi'ba'gei
你皮犟里撒,ni'pi'jiang'li'sa
你谁呀,ni'shui'ya
鸟狙,niao'ju
鸟枪,niao'qiang
喷子,pen'zi
皮犟,pi'jiang
皮犟俩,pi'jiang'lia
钳子,qian'zi
切狙,qie'ju
球多俩,qiu'duo'lia
扔包,reng'bao
扔雷,reng'lei
日妈妈子,ri'ma'ma'zi
如果没有那就一切免谈,ru'guo'mei'you'na'jiu'yi'qie'mian'tan
如果有那就一切免谈,ru'guo'you'na'jiu'yi'qie'mian'tan
三发连射,san'fa'lian'she
三楼,san'lou
丧尸,sang'shi
扫射,sao'she
沙漠之鹰,sha'mo'zhi'ying
沙鹰,sha'ying
闪光雷,shan'guang'lei
闪镜,shan'jing
闪狙,shan'ju
闪雷,shan'lei
闪身爆头,shan'shen'bao'tou
上房顶,shang'fang'ding
尸变,shi'bian
守包,shou'bao
手雷,shou'lei
刷屏,shua'ping
刷钱,shua'qian
刷下,shua'xia
刷一下,shua'yi'xia
甩狙,shuai'ju
甩雷,shuai'lei
甩枪,shuai'qiang
双发连射,shuang'fa'lian'she
死神,si'shen
宿主,su'zhu
太片传,tai'pian'chuan
天台,tian'tai
跳狙,tiao'ju
跳撒,tiao'sa
调重力,tiao'zhong'li
同盟,tong'meng
偷包,tou'bao
偷袭,tou'xi
外场,wai'chang
网太卡,wang'tai'ka
网太卡了,wang'tai'ka'le
网忒卡,wang'tei'ka
我皮上打俩,wo'pi'shang'da'lia
吸引火力,xi'yin'huo'li
霰弹枪,xian'dan'qiang
小道,xiao'dao
小狙,xiao'ju
压枪,ya'qiang
掩护,yan'hu
烟雾弹,yan'wu'dan
隐蔽,yin'bi
炸服,zha'fu
炸主,zha'zhu
战队,zhan'dui
站起,zhan'qi
中门,zhong'men
主机,zhu'ji
装包,zhuang'bao
装雷,zhuang'lei
总部,zong'bu
作弊的踢,zuo'bi'de'ti
作弊的自己滚,zuo'bi'de'zi'ji'gun
作弊器,zuo'bi'qi
