阿大,a'da
阿喽,a'lou
阿西亚,a'xi'ya
啊哟,a'yo
奥呦,ao'you
白条,bai'tiao
办事处,ban'shi'chu
包谷,bao'gu
北禅寺,bei'chan'si
北斗公街,bei'dou'gong'jie
北山索道,bei'shan'suo'dao
滨河路,bin'he'lu
布朗尼亚,bu'lang'ni'ya
曹家寨,cao'jia'zhai
城东三元五金加工厂,cheng'dong'san'yuan'wu'jin'jia'gong'chang
城隍庙蛋糕,cheng'huang'miao'dan'gao
城南新区,cheng'nan'xin'qu
重庆大旭运输公司,chong'qing'da'xu'yun'shu'gong'si
歘把头,chua'ba'tou
大大大,da'da'da
大教场,da'jiao'chang
打浇洗,da'jiao'xi
大什字,da'shen'zi
大掌弯村,da'zhang'wan'cun
蛋蛋儿,dan'dan'er
德令哈路,de'ling'ha'lu
东川,dong'chuan
东关,dong'guan
东稍门,dong'shao'men
墩给了,dun'gei'le
鳄仁谷山庄,e'ren'gu'shan'zhuang
发开心,fa'kai'xin
发走,fa'zou
尕娃,ga'wa
尕庄,ga'zhuang
干拌面,gan'ban'mian
古城台,gu'cheng'tai
果洛路,guo'luo'lu
海湖路,hai'hu'lu
憨顿顿儿,han'dun'dun'er
憨头儿,han'tou'er
号蛋蛋儿,hao'dan'dan'er
红太阳书社,hong'tai'yang'shu'she
虎台,hu'tai
花烦,hua'fan
欢蛋,huan'dan
湟川中学,huang'chuan'zhong'xue
黄河路,huang'he'lu
黄金机械设备厂,huang'jin'ji'xie'she'bei'chang
惠客家,hui'ke'jia
家里子,jia'li'zi
贾生昕,jia'sheng'xin
建设公园,jian'she'gong'yuan
教席,jiao'xi
九眼泉,jiu'yan'quan
具撒着俩,ju'sa'zhe'lia
哭皮胎,ku'pi'tai
款揽揽子,kuan'lan'lan'zi
懒弹丸,lan'dan'wan
兰花网吧,lan'hua'wang'ba
浪荡,lang'dang
浪走,lang'zou
乐都,le'du
礼让街,li'rang'jie
冽巴洼哩,lie'ba'wa'li
烈士陵园,lie'shi'ling'yuan
六一桥,liu'yi'qiao
马趴,ma'pa
麻扫,ma'sao
毛吧,mao'ba
猫姑神,mao'gu'shen
毛鸡湾,mao'ji'wan
美匝了,mei'za'le
密头,mi'tou
面片,mian'pian
庙后山,miao'hou'shan
莫家街,mo'jia'jie
南川,nan'chuan
南绕城路,nan'rao'cheng'lu
南山寺,nan'shan'si
南滩古城,nan'tan'gu'cheng
难心,nan'xin
囊头,nang'tou
孽障,nie'zhang
捏张,nie'zhang
炮仗,pao'zhang
彭家寨,peng'jia'zhai
皮僵,pi'jiang
祁连路,qi'lian'lu
青海尽力攻城器械公司,qing'hai'jin'li'gong'cheng'qi'xie'gong'si
青海马克和林业公司,qing'hai'ma'ke'he'lin'ye'gong'si
青海民族学院,qing'hai'min'zu'xue'yuan
青海盛绒羊毛公司,qing'hai'sheng'rong'yang'mao'gong'si
青海天瑞贸易公司,qing'hai'tian'rui'mao'yi'gong'si
青藏铁路公司物资采购供应站,qing'zang'tie'lu'gong'si'wu'zi'cai'gou'gong'ying'zhan
清真大寺,qing'zhen'da'si
求多着,qiu'duo'zhe
区委办,qu'wei'ban
散匠,san'jiang
少来,shao'lai
圣地亚阁,sheng'di'ya'ge
手抓,shou'zhua
苏家河湾,su'jia'he'wan
贴瞎饼,tie'xia'bing
网络旗舰,wang'luo'qi'jian
西关街小学,xi'guan'jie'xiao'xue
西门口,xi'men'kou
西宁博升防水建材厂,xi'ning'bo'sheng'fang'shui'jian'cai'chang
西宁东川钢窗场,xi'ning'dong'chuan'gang'chuang'chang
西宁酱菜厂,xi'ning'jiang'cai'chang
西宁气体公司,xi'ning'qi'ti'gong'si
西宁书城,xi'ning'shu'cheng
西宁振通公司,xi'ning'zhen'tong'gong'si
西山玫瑰园,xi'shan'mei'gui'yuan
夏利,xia'li
小桥,xiao'qiao
协警员,xie'jing'yuan
心口儿,xin'kou'er
新宁广场,xin'ning'guang'chang
心疼着,xin'teng'zhe
新天地,xin'tian'di
兴海路,xing'hai'lu
杨家寨,yang'jia'zhai
再别,zai'bie
载萨,zai'sa
贼骨肚,zei'gu'du
张氏集团,zhang'shi'ji'tuan
纸坊街,zhi'fang'jie
中心广场,zhong'xin'guang'chang
壮指头,zhuang'zhi'tou
总寨,zong'zhai
缵匠,zuan'jiang
做礼拜,zuo'li'bai
