哎哟哟,ai'yo'yo
奥特曼,ao'te'man
凹凸曼,ao'tu'man
拜托啦人,bai'tuo'la'ren
抱抱,bao'bao
抱抱爻,bao'bao'yao
包在我身上,bao'zai'wo'shen'shang
鼻毛,bi'mao
鄙视你,bi'shi'ni
辫子,bian'zi
瘪嘴,bie'zui
冰天雪地掩面泪奔,bing'tian'xue'di'yan'mian'lei'ben
啵啵,bo'bo
不吃,bu'chi
不懂,bu'dong
不满,bu'man
不是我干的,bu'shi'wo'gan'de
不屑,bu'xie
不要,bu'yao
擦眼泪,ca'yan'lei
财神爷,cai'shen'ye
惨了,can'le
叉腰,cha'yao
吃我一鞭,chi'wo'yi'bian
吃药,chi'yao
冲出皿,chong'chu'min
抽泣,chou'qi
臭蚊子,chou'wen'zi
穿墙过去,chuan'qiang'guo'qu
呆滞,dai'zhi
淡定,dan'ding
当然,dang'ran
刀疤,dao'ba
等等我我我,deng'deng'wo'wo'wo
低落,di'luo
低头,di'tou
点头,dian'tou
嘟嘴,du'zui
对不起,dui'bu'qi
呃被发现了,e'bei'fa'xian'le
呃我,e'wo
翻桌,fan'zhuo
防御一,fang'yu'yi
飞吻,fei'wen
分裂,fen'lie
风魔法,feng'mo'fa
乀乀去去去,fu'fu'qu'qu'qu
复活,fu'huo
扶眼镜,fu'yan'jing
嘎嘎嘎,ga'ga'ga
干杯,gan'bei
高实在是高,gao'shi'zai'shi'gao
告状,gao'zhuang
歌啦啦啦,ge'la'la'la
跟你说厚,gen'ni'shuo'hou
狗狗,gou'gou
鼓掌,gu'zhang
鼓掌鼓掌,gu'zhang'gu'zhang
咳咳,hai'hai
含泪挥手帕,han'lei'hui'shou'pa
好吧,hao'ba
好苦,hao'ku
好香,hao'xiang
好主意,hao'zhu'yi
河马,he'ma
喝西北风彡,he'xi'bei'feng'san
黑客帝国下腰,hei'ke'di'guo'xia'yao
呼唤,hu'huan
呼幸好幸好,hu'xing'hao'xing'hao
欢迎,huan'ying
幻影术,huan'ying'shu
挥手帕,hui'shou'pa
火箭筒发射皿口口口,huo'jian'tong'fa'she'min'kou'kou'kou
击掌人,ji'zhang'ren
金盾,jin'dun
就你,jiu'ni
就你好了,jiu'ni'hao'le
就是他,jiu'shi'ta
举手,ju'shou
举手投降,ju'shou'tou'xiang
看好你哦,kan'hao'ni'o
看我忍者镖卍卍卍卍卍卍,kan'wo'ren'zhe'biao'wan'wan'wan'wan'wan'wan
靠什么东西,kao'shen'me'dong'xi
苦恼,ku'nao
困揉眼睛,kun'rou'yan'jing
啦啦啦,la'la'la
来啊挑衅,lai'a'tiao'xin
来呀挑衅,lai'ya'tiao'xin
冷笑,leng'xiao
楞住,leng'zhu
脸红掩面,lian'hong'yan'mian
两罐纸星星,liang'guan'zhi'xing'xing
列队,lie'dui
铃铃铃,ling'ling'ling
没办法,mei'ban'fa
没人在哦,mei'ren'zai'o
媚眼,mei'yan
咪咪人,mi'mi'ren
秘密一一,mi'mi'yi'yi
咩哈哈哈哈,mie'ha'ha'ha'ha
蔑视,mie'shi
皿哪里跑,min'na'li'pao
命苦,ming'ku
膜拜,mo'bai
摸摸头,mo'mo'tou
那边那个,na'bian'na'ge
你给我回来,ni'gei'wo'hui'lai
你回来啦,ni'hui'lai'la
溺水,ni'shui
捏耳朵,nie'er'duo
怕怕爻,pa'pa'yao
拍手拍手,pai'shou'pai'shou
拍桌狂笑,pai'zhuo'kuang'xiao
丬别走啊,pan'bie'zou'a
飘飘然,piao'piao'ran
乒乓球,ping'pang'qiu
起床,qi'chuang
起床啦,qi'chuang'la
期待,qi'dai
亲亲,qin'qin
去去去,qu'qu'qu
去下厕厕,qu'xia'ce'ce
人拜佛,ren'bai'fo
人击掌,ren'ji'zhang
忍术隐人人,ren'shu'yin'ren'ren
撒花,sa'hua
散弹发射一,san'dan'fa'she'yi
彡彡衰,san'san'shuai
闪人,shan'ren
伤心,shang'xin
射箭,she'jian
神啊,shen'a
是不是你,shi'bu'shi'ni
石化,shi'hua
视力表旦呃,shi'li'biao'dan'e
失落,shi'luo
手榴弹,shou'liu'dan
手指戳戳,shou'zhi'chuo'chuo
手肘戳戳,shou'zhou'chuo'chuo
死亡中,si'wang'zhong
他不起来,ta'bu'qi'lai
台大鼻子,tai'da'bi'zi
太好笑了,tai'hao'xiao'le
逃命啊,tao'ming'a
讨厌啦,tao'yan'la
陶醉,tao'zui
天旋地转,tian'xuan'di'zhuan
天助我也彡,tian'zhu'wo'ye'san
偷看,tou'kan
偷拍,tou'pai
凸艹皿艹,tu'ao'min'ao
凸皿靠,tu'min'kao
推推起床啦,tui'tui'qi'chuang'la
拖走,tuo'zou
卍超强风扇吹,wan'chao'qiang'feng'shan'chui
万岁,wan'sui
罒罒,wang'wang
喂饭,wei'fan
围观,wei'guan
吻别,wen'bie
我不看,wo'bu'kan
我错了,wo'cuo'le
我回来啦,wo'hui'lai'la
我来了,wo'lai'le
握拳,wo'quan
我忍,wo'ren
我闪,wo'shan
无敌,wu'di
无敌影分身,wu'di'ying'fen'shen
无力扶墙壁,wu'li'fu'qiang'bi
无奈,wu'nai
呜呜呜,wu'wu'wu
无影脚口,wu'ying'jiao'kou
享受,xiang'shou
小孩,xiao'hai
消失,xiao'shi
小新,xiao'xin
邪恶,xie'e
心神不宁,xin'shen'bu'ning
欣慰,xin'wei
噎死,ye'si
噎住,ye'zhu
一念咒,yi'nian'zhou
一畏罪自杀,yi'wei'zui'zi'sha
