阿多诺,a'duo'nuo
阿尔都塞,a'er'du'sai
安年柯夫,an'nian'ke'fu
巴枯宁,ba'ku'ning
鲍威尔,bao'wei'er
必然王国,bi'ran'wang'guo
必然性,bi'ran'xing
辩证否定观,bian'zheng'fou'ding'guan
辩证唯物主义,bian'zheng'wei'wu'zhu'yi
伯恩施坦,bo'en'shi'tan
布哈林,bu'ha'lin
不可知论,bu'ke'zhi'lun
布洛赫,bu'luo'he
德里达,de'li'da
狄德罗,di'de'luo
斗争性,dou'zheng'xing
杜林,du'lin
对抗性矛盾,dui'kang'xing'mao'dun
对立统一,dui'li'tong'yi
发展哲学,fa'zhan'zhe'xue
法哲学,fa'zhe'xue
反映论,fan'ying'lun
费尔巴哈,fei'er'ba'ha
傅立叶,fu'li'ye
感性认识,gan'xing'ren'shi
葛兰西,ge'lan'xi
革命性,ge'ming'xing
共相,gong'xiang
观念上层建筑,guan'nian'shang'ceng'jian'zhu
哈贝马斯,ha'bei'ma'si
合法性,he'fa'xing
合理内核,he'li'nei'he
合理性,he'li'xing
黑格尔,hei'ge'er
霍克海默,huo'ke'hai'mo
基本矛盾,ji'ben'mao'dun
基本内核,ji'ben'nei'he
基本问题,ji'ben'wen'ti
激变论,ji'bian'lun
阶级斗争,jie'ji'dou'zheng
阶级分析法,jie'ji'fen'xi'fa
阶级结构,jie'ji'jie'gou
阶级性,jie'ji'xing
阶级意识,jie'ji'yi'shi
经济斗争,jing'ji'dou'zheng
经济范畴,jing'ji'fan'chou
经济基础,jing'ji'ji'chu
经济哲学,jing'ji'zhe'xue
经验论,jing'yan'lun
经验主义,jing'yan'zhu'yi
经院哲学,jing'yuan'zhe'xue
绝对真理,jue'dui'zhen'li
均衡论,jun'heng'lun
考茨基,kao'ci'ji
科尔施,ke'er'shi
客观实在性,ke'guan'shi'zai'xing
可能性,ke'neng'xing
科西克,ke'xi'ke
科学性,ke'xue'xing
科学之科学,ke'xue'zhi'ke'xue
可知论,ke'zhi'lun
空想社会主义,kong'xiang'she'hui'zhu'yi
拉布里奥拉,la'bu'li'ao'la
拉法格,la'fa'ge
莱茵报,lai'yin'bao
李卜克内西,li'bu'ke'nei'xi
历史范畴,li'shi'fan'chou
历史唯物主义,li'shi'wei'wu'zhu'yi
理性具体,li'xing'ju'ti
理性认识,li'xing'ren'shi
联合体,lian'he'ti
两点论,liang'dian'lun
卢格,lu'ge
卢卡奇,lu'ka'qi
卢森堡,lu'sen'bao
马尔库塞,ma'er'ku'sai
曼海姆,man'hai'mu
矛盾,mao'dun
能动性,neng'dong'xing
偶然性,ou'ran'xing
欧文,ou'wen
普列汉诺夫,pu'lie'han'nuo'fu
普鲁东,pu'lu'dong
普纳路亚,pu'na'lu'ya
朴素辩证法,pu'su'bian'zheng'fa
朴素唯物主义,pu'su'wei'wu'zhu'yi
齐泽克,qi'ze'ke
青年黑格尔派,qing'nian'hei'ge'er'pai
群众观点,qun'zhong'guan'dian
群众路线,qun'zhong'lu'xian
人的本质,ren'de'ben'zhi
人口因素,ren'kou'yin'su
萨特,sa'te
沙夫,sha'fu
上层建筑,shang'ceng'jian'zhu
社会革命,she'hui'ge'ming
社会物质生活条件,she'hui'wu'zhi'sheng'huo'tiao'jian
社会心理,she'hui'xin'li
社会形态,she'hui'xing'tai
社会意识形式,she'hui'yi'shi'xing'shi
生产方式,sheng'chan'fang'shi
生产关系,sheng'chan'guan'xi
生产力,sheng'chan'li
生产实践,sheng'chan'shi'jian
圣西门,sheng'xi'men
剩余价值,sheng'yu'jia'zhi
施蒂纳,shi'di'na
实践性,shi'jian'xing
施特劳斯,shi'te'lao'si
斯大林,si'da'lin
思想斗争,si'xiang'dou'zheng
思想政治,si'xiang'zheng'zhi
私有制,si'you'zhi
搜集材料,sou'ji'cai'liao
所有制,suo'you'zhi
泰勒斯,tai'le'si
同一性,tong'yi'xing
唯理论,wei'li'lun
唯名论,wei'ming'lun
唯实论,wei'shi'lun
魏特林,wei'te'lin
唯物辩证法,wei'wu'bian'zheng'fa
唯物史观,wei'wu'shi'guan
唯物主义,wei'wu'zhu'yi
唯心辩证法,wei'xin'bian'zheng'fa
唯心史观,wei'xin'shi'guan
唯心主义,wei'xin'zhu'yi
唯一者,wei'yi'zhe
文化政治学,wen'hua'zheng'zhi'xue
无产阶级专政,wu'chan'jie'ji'zhuan'zheng
物化,wu'hua
乌托邦,wu'tuo'bang
无限性,wu'xian'xing
物质,wu'zhi
现实性,xian'shi'xing
先验论,xian'yan'lun
相对真理,xiang'dui'zhen'li
相对主义,xiang'dui'zhu'yi
谢林,xie'lin
形而上学唯物主义,xing'er'shang'xue'wei'wu'zhu'yi
形式质料说,xing'shi'zhi'liao'shuo
扬弃,yang'qi
意识,yi'shi
意识形态,yi'shi'xing'tai
有限性,you'xian'xing
宇宙观,yu'zhou'guan
宇宙之砖,yu'zhou'zhi'zhuan
哲学,zhe'xue
折衷主义,zhe'zhong'zhu'yi
真理性,zhen'li'xing
真正的社会主义,zhen'zheng'de'she'hui'zhu'yi
整理材料,zheng'li'cai'liao
政治斗争,zheng'zhi'dou'zheng
政治上层建筑,zheng'zhi'shang'ceng'jian'zhu
政治哲学,zheng'zhi'zhe'xue
知识社会学,zhi'shi'she'hui'xue
重点论,zhong'dian'lun
主要矛盾,zhu'yao'mao'dun
主要矛盾方面,zhu'yao'mao'dun'fang'mian
自然观,zi'ran'guan
自然哲学,zi'ran'zhe'xue
自我意识,zi'wo'yi'shi
自由王国,zi'you'wang'guo
