爱家百货,ai'jia'bai'huo
安居装饰城,an'ju'zhuang'shi'cheng
八二零路口,ba'er'ling'lu'kou
白桥客运站,bai'qiao'ke'yun'zhan
保健医院,bao'jian'yi'yuan
北岗楼,bei'gang'lou
北加油站,bei'jia'you'zhan
北建材金街,bei'jian'cai'jin'jie
北京商场,bei'jing'shang'chang
北京现代腾麟,bei'jing'xian'dai'teng'lin
碧海花园,bi'hai'hua'yuan
博爱医院,bo'ai'yi'yuan
财经学校,cai'jing'xue'xiao
财税学校,cai'shui'xue'xiao
菜园街路口,cai'yuan'jie'lu'kou
财政局家属院,cai'zheng'ju'jia'shu'yuan
仓库路口,cang'ku'lu'kou
测绘工程院,ce'hui'gong'cheng'yuan
陈庄,chen'zhuang
城管监察支队,cheng'guan'jian'cha'zhi'dui
春晓街路口,chun'xiao'jie'lu'kou
翠锦花园,cui'jin'hua'yuan
大程集团,da'cheng'ji'tuan
大郭村,da'guo'cun
大韩村,da'han'cun
大华市场,da'hua'shi'chang
大朱村,da'zhu'cun
第二高中,di'er'gao'zhong
地高新校,di'gao'xin'xiao
第九中学,di'jiu'zhong'xue
第六小学,di'liu'xiao'xue
第三高中,di'san'gao'zhong
第三小学,di'san'xiao'xue
第十八中学,di'shi'ba'zhong'xue
第十二小学,di'shi'er'xiao'xue
第十二中学,di'shi'er'zhong'xue
地税局,di'shui'ju
第四人民医院,di'si'ren'min'yi'yuan
第五中学,di'wu'zhong'xue
第一人民医院,di'yi'ren'min'yi'yuan
第一小学,di'yi'xiao'xue
地质八队,di'zhi'ba'dui
电力医院路口,dian'li'yi'yuan'lu'kou
电视大学,dian'shi'da'xue
电视台,dian'shi'tai
电业局,dian'ye'ju
电业局家属院,dian'ye'ju'jia'shu'yuan
顶升油厂,ding'sheng'you'chang
东方驾校,dong'fang'jia'xiao
东高速入口,dong'gao'su'ru'kou
儿童公园,er'tong'gong'yuan
二纸厂,er'zhi'chang
法恩莎卫浴,fa'en'sha'wei'yu
范庄,fan'zhuang
防疫站,fang'yi'zhan
方远电脑学校,fang'yuan'dian'nao'xue'xiao
纺织厂,fang'zhi'chang
方庄,fang'zhuang
飞龙小区,fei'long'xiao'qu
风光路口,feng'guang'lu'kou
风光市场东门,feng'guang'shi'chang'dong'men
风湿病医院,feng'shi'bing'yi'yuan
丰泽路口,feng'ze'lu'kou
富强路幼儿园,fu'qiang'lu'you'er'yuan
副食公司,fu'shi'gong'si
福宜家购物广场,fu'yi'jia'gou'wu'guang'chang
高管局,gao'guan'ju
高管委,gao'guan'wei
高门楼,gao'men'lou
高桥,gao'qiao
高新区工业园,gao'xin'qu'gong'ye'yuan
高新区驾校,gao'xin'qu'jia'xiao
高招办,gao'zhao'ban
公交驾校,gong'jiao'jia'xiao
公路局家属院,gong'lu'ju'jia'shu'yuan
骨科医院,gu'ke'yi'yuan
顾庙村,gu'miao'cun
骨髓炎专科医院,gu'sui'yan'zhuan'ke'yi'yuan
关庄路口,guan'zhuang'lu'kou
国税局,guo'shui'ju
国土资源局,guo'tu'zi'yuan'ju
郭庄路口,guo'zhuang'lu'kou
韩庄,han'zhuang
豪德贸易广场,hao'de'mao'yi'guang'chang
和和数码,he'he'shu'ma
河里王,he'li'wang
河沿李,he'yan'li
合众人寿天龙大酒店,he'zhong'ren'shou'tian'long'da'jiu'dian
和庄,he'zhuang
宏大市场,hong'da'shi'chang
洪沟庙,hong'gou'miao
洪堂路口,hong'tang'lu'kou
宏阳新能源有限公司,hong'yang'xin'neng'yuan'you'xian'gong'si
沪强风光城,hu'qiang'feng'guang'cheng
化肥厂,hua'fei'chang
化肥厂东门,hua'fei'chang'dong'men
化肥厂家属院,hua'fei'chang'jia'shu'yuan
化肥厂南门,hua'fei'chang'nan'men
华骏车城,hua'jun'che'cheng
华骏车辆厂,hua'jun'che'liang'chang
华康市场,hua'kang'shi'chang
华夏人寿,hua'xia'ren'shou
华中正大,hua'zhong'zheng'da
皇朝大酒店,huang'chao'da'jiu'dian
黄淮学院,huang'huai'xue'yuan
黄淮学院路口,huang'huai'xue'yuan'lu'kou
黄淮学院南区,huang'huai'xue'yuan'nan'qu
火车站,huo'che'zhan
技工学校,ji'gong'xue'xiao
机械厂,ji'xie'chang
加油站,jia'you'zhan
建材市场,jian'cai'shi'chang
检察院家属院,jian'cha'yuan'jia'shu'yuan
建业家园,jian'ye'jia'yuan
建业市场,jian'ye'shi'chang
建业小区,jian'ye'xiao'qu
建业小区南门,jian'ye'xiao'qu'nan'men
交警支队,jiao'jing'zhi'dui
交通技校,jiao'tong'ji'xiao
教育学院,jiao'yu'xue'yuan
解放路口,jie'fang'lu'kou
金店,jin'dian
金雀路口,jin'que'lu'kou
金三角,jin'san'jiao
金属公司,jin'shu'gong'si
金太阳幼儿园,jin'tai'yang'you'er'yuan
金鑫,jin'xin
警犬训练基地,jing'quan'xun'lian'ji'di
精神病医院,jing'shen'bing'yi'yuan
精神病院,jing'shen'bing'yuan
靖宇广场,jing'yu'guang'chang
军分区医院,jun'fen'qu'yi'yuan
看守所,kan'shou'suo
康茂公司,kang'mao'gong'si
科三考场,ke'san'kao'chang
寇店,kou'dian
蓝天电厂,lan'tian'dian'chang
老街路口,lao'jie'lu'kou
老街乡政府,lao'jie'xiang'zheng'fu
老街一队,lao'jie'yi'dui
老市委,lao'shi'wei
乐山商场,le'shan'shang'chang
乐山商场生活超市,le'shan'shang'chang'sheng'huo'chao'shi
练江路口,lian'jiang'lu'kou
联运公司,lian'yun'gong'si
梁祝游园,liang'zhu'you'yuan
灵生医药,ling'sheng'yi'yao
刘店,liu'dian
刘阁乡政府,liu'ge'xiang'zheng'fu
刘阁中学,liu'ge'zhong'xue
六九三厂,liu'jiu'san'chang
龙泉寺,long'quan'si
马岗,ma'gang
苗圃,miao'pu
民生集团,min'sheng'ji'tuan
明珠港湾,ming'zhu'gang'wan
南方钢厂,nan'fang'gang'chang
南海公园,nan'hai'gong'yuan
南海路口,nan'hai'lu'kou
南加油站,nan'jia'you'zhan
农村公路管理处,nong'cun'gong'lu'guan'li'chu
农村公路管理处家属院,nong'cun'gong'lu'guan'li'chu'jia'shu'yuan
农行大厦,nong'hang'da'sha
农机校,nong'ji'xiao
农校,nong'xiao
喷灌机厂,pen'guan'ji'chang
汽车东站,qi'che'dong'zhan
前湖公园,qian'hu'gong'yuan
前进路口,qian'jin'lu'kou
前王家俱城,qian'wang'jia'ju'cheng
前王楼,qian'wang'lou
前张,qian'zhang
清真寺,qing'zhen'si
区财政局,qu'cai'zheng'ju
区法院,qu'fa'yuan
区政府,qu'zheng'fu
燃气公司,ran'qi'gong'si
热电厂,re'dian'chang
人和初中,ren'he'chu'zhong
人民街路口,ren'min'jie'lu'kou
三车队,san'che'dui
三李村,san'li'cun
桑王庄路口,sang'wang'zhuang'lu'kou
纱北路口,sha'bei'lu'kou
纱厂北区,sha'chang'bei'qu
尚城华府,shang'cheng'hua'fu
上海全宇,shang'hai'quan'yu
市第二小学,shi'di'er'xiao'xue
市第二中医院,shi'di'er'zhong'yi'yuan
市副食公司,shi'fu'shi'gong'si
市公安局,shi'gong'an'ju
市规划局,shi'gui'hua'ju
市检察院,shi'jian'cha'yuan
市检查院,shi'jian'cha'yuan
市建委,shi'jian'wei
市交警支队,shi'jiao'jing'zhi'dui
市棉纺织厂,shi'mian'fang'zhi'chang
市农机北库,shi'nong'ji'bei'ku
十三香厂,shi'san'xiang'chang
十三香路口,shi'san'xiang'lu'kou
市石油公司,shi'shi'you'gong'si
市水厂,shi'shui'chang
市委党校,shi'wei'dang'xiao
市委家属院,shi'wei'jia'shu'yuan
市委市政府,shi'wei'shi'zheng'fu
实小路口,shi'xiao'lu'kou
市运管局,shi'yun'guan'ju
市政工程处,shi'zheng'gong'cheng'chu
市中心医院,shi'zhong'xin'yi'yuan
市中医院,shi'zhong'yi'yuan
收费站,shou'fei'zhan
水果批发市场,shui'guo'pi'fa'shi'chang
水果蔬菜批发市场,shui'guo'shu'cai'pi'fa'shi'chang
水上大世界,shui'shang'da'shi'jie
顺达化工,shun'da'hua'gong
顺景国际广场,shun'jing'guo'ji'guang'chang
四海驾校,si'hai'jia'xiao
四通驾校,si'tong'jia'xiao
塘坊庄,tang'fang'zhuang
天安保险公司,tian'an'bao'xian'gong'si
天龙大酒店,tian'long'da'jiu'dian
天龙市场,tian'long'shi'chang
天龙市场北门,tian'long'shi'chang'bei'men
天桥路口,tian'qiao'lu'kou
天中广场,tian'zhong'guang'chang
天中汇元食品公司,tian'zhong'hui'yuan'shi'pin'gong'si
天中山大道路口,tian'zhong'shan'da'dao'lu'kou
天中山小学,tian'zhong'shan'xiao'xue
天中小区,tian'zhong'xiao'qu
铁路货场北门,tie'lu'huo'chang'bei'men
铁路家属院,tie'lu'jia'shu'yuan
通达小区,tong'da'xiao'qu
团结路口,tuan'jie'lu'kou
外贸车队,wai'mao'che'dui
万隆市场,wan'long'shi'chang
王店,wang'dian
王府私房菜酒楼,wang'fu'si'fang'cai'jiu'lou
王楼村,wang'lou'cun
王楼西队,wang'lou'xi'dui
王孟寺,wang'meng'si
网通公司,wang'tong'gong'si
王子路,wang'zi'lu
卫校,wei'xiao
文化路口,wen'hua'lu'kou
文明路口,wen'ming'lu'kou
文祥路口,wen'xiang'lu'kou
温州步行街,wen'zhou'bu'xing'jie
武岗村,wu'gang'cun
五沟营,wu'gou'ying
武警支队,wu'jing'zhi'dui
五零二,wu'ling'er
污水处理厂,wu'shui'chu'li'chang
五星电器,wu'xing'dian'qi
西三环,xi'san'huan
西药厂,xi'yao'chang
西园宾馆,xi'yuan'bin'guan
