阿格里斯的日记,a'ge'li'si'de'ri'ji
阿兰克斯矿石,a'lan'ke'si'kuang'shi
阿斯勒啤酒,a'si'le'pi'jiu
艾鲁拉的护符,ai'lu'la'de'hu'fu
安刺轻钢,an'ci'qing'gang
暗光魂眸,an'guang'hun'mou
暗黑圣经,an'hei'sheng'jing
暗黑之光,an'hei'zhi'guang
暗血装,an'xue'zhuang
暗哑噬魂,an'ya'shi'hun
暗影突袭,an'ying'tu'xi
暗影之石,an'ying'zhi'shi
暗域魅影,an'yu'mei'ying
暗之幼龙翅膀,an'zhi'you'long'chi'bang
奥术之卷,ao'shu'zhi'juan
八方法眼,ba'fang'fa'yan
白热战符,bai're'zhan'fu
白日头环,bai'ri'tou'huan
百色玫瑰,bai'se'mei'gui
白色宁静,bai'se'ning'jing
帮派,bang'pai
帮主,bang'zhu
帮主伴侣,bang'zhu'ban'lv
帮主伴侣助手,bang'zhu'ban'lv'zhu'shou
帮主亲信,bang'zhu'qin'xin
暴君恶行,bao'jun'e'xing
爆雷击,bao'lei'ji
爆雷术,bao'lei'shu
爆炎斩,bao'yan'zhan
贝壳项链,bei'ke'xiang'lian
悲伤之刃,bei'shang'zhi'ren
碧波万里,bi'bo'wan'li
庇护手镯,bi'hu'shou'zhuo
碧血手镯,bi'xue'shou'zhuo
庇佑者莉迪亚,bi'you'zhe'li'di'ya
冰封掌,bing'feng'zhang
冰晶缠绕,bing'jing'chan'rao
冰牙刃,bing'ya'ren
铂金荣耀,bo'jin'rong'yao
布衣,bu'yi
裁决骑士凯隆,cai'jue'qi'shi'kai'long
裁决骑士莎菲,cai'jue'qi'shi'sha'fei
彩饰剑,cai'shi'jian
藏宝图,cang'bao'tu
刹那光华,cha'na'guang'hua
缠绕手镯,chan'rao'shou'zhuo
长军刀,chang'jun'dao
赤心战符,chi'xin'zhan'fu
赤焰龙魂,chi'yan'long'hun
赤月荆棘,chi'yue'jing'ji
冲杀,chong'sha
仇恨经文,chou'hen'jing'wen
仇恨之骨,chou'hen'zhi'gu
传送卷轴,chuan'song'juan'zhou
传送之书,chuan'song'zhi'shu
闯副本,chuang'fu'ben
刺剑,ci'jian
赐予者艾登,ci'yu'zhe'ai'deng
村长的信,cun'zhang'de'xin
大地之痕,da'di'zhi'hen
大堆金币,da'dui'jin'bi
大飞,da'fei
达明苏酒,da'ming'su'jiu
达明苏配方,da'ming'su'pei'fang
大魔药,da'mo'yao
大血药,da'xue'yao
盗贼腰带,dao'zei'yao'dai
低级术士勋章,di'ji'shu'shi'xun'zhang
低级卫士勋章,di'ji'wei'shi'xun'zhang
低级勇士勋章,di'ji'yong'shi'xun'zhang
地精卷轴,di'jing'juan'zhou
地精牙齿,di'jing'ya'chi
地精眼,di'jing'yan
地精语言传送机,di'jing'yu'yan'chuan'song'ji
迪森斯的信,di'sen'si'de'xin
地王护胫,di'wang'hu'jing
帝王项链,di'wang'xiang'lian
地王尊贵,di'wang'zun'gui
迪修斯的情书,di'xiu'si'de'qing'shu
地之图腾,di'zhi'tu'teng
地之幼龙翅膀,di'zhi'you'long'chi'bang
电击术,dian'ji'shu
电浆药水,dian'jiang'yao'shui
雕像碎片,diao'xiang'sui'pian
钉刺手镯,ding'ci'shou'zhuo
冻结命运,dong'jie'ming'yun
斗战迷惘,dou'zhan'mi'wang
毒雾,du'wu
毒牙项链,du'ya'xiang'lian
毒牙印记,du'ya'yin'ji
锻玉剑,duan'yu'jian
队官,dui'guan
夺命之剑,duo'ming'zhi'jian
恶毒三角,e'du'san'jiao
恶鬼战符,e'gui'zhan'fu
噩梦之首,e'meng'zhi'shou
二级帮众,er'ji'bang'zhong
二级弟子,er'ji'di'zi
二级会员,er'ji'hui'yuan
二级团员,er'ji'tuan'yuan
二星级,er'xing'ji
法师攻防型,fa'shi'gong'fang'xing
法师魔防型,fa'shi'mo'fang'xing
法师魔攻型,fa'shi'mo'gong'xing
法王伴侣,fa'wang'ban'lv
法王助手,fa'wang'zhu'shou
法杖,fa'zhang
反偷盗,fan'tou'dao
范围连斩,fan'wei'lian'zhan
反追查,fan'zhui'cha
反追踪,fan'zhui'zong
翡翠礼赞,fei'cui'li'zan
翡翠情网,fei'cui'qing'wang
绯红圣言,fei'hong'sheng'yan
飞鸿之光,fei'hong'zhi'guang
飞煌手镯,fei'huang'shou'zhuo
沸腾魔力,fei'teng'mo'li
飞天连斩,fei'tian'lian'zhan
飞天斩,fei'tian'zhan
飞翔之书,fei'xiang'zhi'shu
飞云杖,fei'yun'zhang
废止经文,fei'zhi'jing'wen
风暴,feng'bao
风暴魂索尔,feng'bao'hun'suo'er
风牙,feng'ya
凤翼天宇,feng'yi'tian'yu
封印战符,feng'yin'zhan'fu
风斩,feng'zhan
风之图腾,feng'zhi'tu'teng
风之幼龙翅膀,feng'zhi'you'long'chi'bang
风珠,feng'zhu
副帮主,fu'bang'zhu
副帮主伴侣,fu'bang'zhu'ban'lv
副帮主助手,fu'bang'zhu'zhu'shou
富贵倾城财神包,fu'gui'qing'cheng'cai'shen'bao
副会长,fu'hui'zhang
副会长伴侣,fu'hui'zhang'ban'lv
副会长助手,fu'hui'zhang'zhu'shou
副教主,fu'jiao'zhu
副教主伴侣,fu'jiao'zhu'ban'lv
副教主助手,fu'jiao'zhu'zhu'shou
副团长,fu'tuan'zhang
副团长伴侣,fu'tuan'zhang'ban'lv
副团长助手,fu'tuan'zhang'zhu'shou
钢铁承诺,gang'tie'cheng'nuo
钢铁韵律,gang'tie'yun'lv
高攻宝宝,gao'gong'bao'bao
高级会员,gao'ji'hui'yuan
高级经验装备,gao'ji'jing'yan'zhuang'bei
高级月赛奖励包,gao'ji'yue'sai'jiang'li'bao
高星宝宝,gao'xing'bao'bao
高星副宠,gao'xing'fu'chong
哥德战甲,ge'de'zhan'jia
攻击结界,gong'ji'jie'jie
古藤杖,gu'teng'zhang
孤星蒂娜亚,gu'xing'di'na'ya
贯心刀,guan'xin'dao
光辉光环,guang'hui'guang'huan
光辉奇迹,guang'hui'qi'ji
光芒之刃,guang'mang'zhi'ren
光明天兆,guang'ming'tian'zhao
光球术,guang'qiu'shu
光之宝石,guang'zhi'bao'shi
光之草,guang'zhi'cao
光之幼龙翅膀,guang'zhi'you'long'chi'bang
鬼物献祭,gui'wu'xian'ji
诡异扭曲,gui'yi'niu'qu
海盗弯刀,hai'dao'wan'dao
海皇护御,hai'huang'hu'yu
寒冰战符,han'bing'zhan'fu
撼地者吉鲁,han'di'zhe'ji'lu
寒光战靴,han'guang'zhan'xue
撼雷战符,han'lei'zhan'fu
寒流头环,han'liu'tou'huan
寒月,han'yue
豪华富贵包,hao'hua'fu'gui'bao
合宝宝,he'bao'bao
和宝宝,he'bao'bao
呵呵你怎么,he'he'ni'zen'me
和谐之舞,he'xie'zhi'wu
黑暗动机,hei'an'dong'ji
黑洞吸心,hei'dong'xi'xin
黑火虎,hei'huo'hu
黑金魔杖,hei'jin'mo'zhang
黑色魔法,hei'se'mo'fa
黑月战符,hei'yue'zhan'fu
红雷杖,hong'lei'zhang
红鳞步靴,hong'lin'bu'xue
虹冥铠,hong'ming'kai
虹影魔环,hong'ying'mo'huan
红诛剑,hong'zhu'jian
护法,hu'fa
护法伴侣,hu'fa'ban'lv
护法助手,hu'fa'zhu'shou
护身,hu'shen
护手刀,hu'shou'dao
护体结界,hu'ti'jie'jie
护卫使命,hu'wei'shi'ming
幻化衰衰草,huan'hua'shuai'shuai'cao
幻化幸运草,huan'hua'xing'yun'cao
幻界水晶,huan'jie'shui'jing
幻蓝天霞,huan'lan'tian'xia
幻雷流火,huan'lei'liu'huo
幻灭虚空,huan'mie'xu'kong
幻灭之甲,huan'mie'zhi'jia
幻魔,huan'mo
幻魔晶石,huan'mo'jing'shi
幻魔之心,huan'mo'zhi'xin
幻兽蛋,huan'shou'dan
幻兽鉴定卷轴,huan'shou'jian'ding'juan'zhou
幻兽锁,huan'shou'suo
幻舞翔空,huan'wu'xiang'kong
幻想之光礼包,huan'xiang'zhi'guang'li'bao
幻星法帽,huan'xing'fa'mao
幻影诅咒暗,huan'ying'zu'zhou'an
黄金奔腾,huang'jin'ben'teng
黄金宿印,huang'jin'su'yin
黄金之眼,huang'jin'zhi'yan
黄龙大帝,huang'long'da'di
黄龙之爪,huang'long'zhi'zhao
回城卷,hui'cheng'juan
