安道多才,an'dao'duo'cai
安国阳秋,an'guo'yang'qiu
安期东渡,an'qi'dong'du
安石求师,an'shi'qiu'shi
安石执拗,an'shi'zhi'niu
安之画地,an'zhi'hua'di
敖曹雄异,ao'cao'xiong'yi
翱狂晞发,ao'kuang'xi'fa
傲倪昭谏,ao'ni'zhao'jian
八龙荀氏,ba'long'xun'shi
白愿识韩,bai'yuan'shi'han
白州刺史,bai'zhou'ci'shi
半臂怜姬,ban'bi'lian'ji
班固勒铭,ban'gu'le'ming
班姬辞辇,ban'ji'ci'nian
班昭汉史,ban'zhao'han'shi
暴胜持斧,bao'sheng'chi'fu
北陇孔嘲,bei'long'kong'chao
北山学士,bei'shan'xue'shi
碑赚孙何,bei'zhuan'sun'he
笔床茶灶,bi'chuang'cha'zao
比干受策,bi'gan'shou'ce
敝履东郭,bi'lv'dong'guo
扁鹊名医,bian'que'ming'yi
辩日儿童,bian'ri'er'tong
卞庄刺虎,bian'zhuang'ci'hu
膑杀庞涓,bin'sha'pang'juan
彬下江南,bin'xia'jiang'nan
丙吉问牛,bing'ji'wen'niu
冰山右相,bing'shan'you'xiang
博奥文元,bo'ao'wen'yuan
伯伦鸡肋,bo'lun'ji'lei
伯奇履霜,bo'qi'lv'shuang
伯俞泣杖,bo'yu'qi'zhang
伯玉知非,bo'yu'zhi'fei
伯约当归,bo'yue'dang'gui
不尽兹函,bu'jin'zi'han
不齐宰单,bu'qi'zai'dan
卜商闻过,bu'shang'wen'guo
不疑盗金,bu'yi'dao'jin
布重一诺,bu'zhong'yi'nuo
蔡陈善谑,cai'chen'shan'xue
蔡衡辨凤,cai'heng'bian'feng
彩鸾书韵,cai'luan'shu'yun
蔡伦造纸,cai'lun'zao'zhi
才压元白,cai'ya'yuan'bai
蔡琰胡笳,cai'yan'hu'jia
蔡邕倒屣,cai'yong'dao'xi
仓颉造字,cang'jie'zao'zi
藏用五知,cang'yong'wu'zhi
曹兵迅速,cao'bing'xun'su
曹参辅汉,cao'can'fu'han
曹公多智,cao'gong'duo'zhi
